,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,REFLECT_INTERLEAVED,rest_v_task,64437.340754784265,35933.250865903065,9.75552720223767,,,34.82959876425036,1.3324342605441366e-28,,,3844.0,8.281906451123152e-18,1.0
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0034317089910775576,0.00258809888608224,0.5256548202605252,,,2.4952152470109343,0.016442303479567943,,,2662.0,0.0006925526076636755,0.6925078043704475
Shifted Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.014201995670767121,0.01676052838626858,-0.6419676541412306,,,-2.6460239921551207,0.011754299606511488,,,1159.0,0.0006185289457219782,0.30150884495317376
β,REFLECT_INTERLEAVED,rest_v_task,0.9999899849128617,0.9838612754797105,0.14222303932135083,,,1.4199976910625522,0.15813803531229217,,,1953.0,0.48519491400800097,0.5080645161290323
