,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,109395.46953753343,113210.37416284888,-0.09703241312325031,,,-0.3549859900140901,0.724659216064931,,,748.0,0.41237946802066094,0.4452380952380952
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.010535117056856188,0.01027233635929288,0.04963443019370081,,,0.19236210350363736,0.848423417212622,,,952.5,0.3031073170134917,0.5669642857142857
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.024414715719063545,0.023769708552317248,0.054040910630230275,,,0.23783161980972833,0.8129156142590142,,,890.0,0.6550854749481139,0.5297619047619048
β,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.9999899849128615,0.9999899849128617,-1.1972189997378646,,,-7.681145747868609,1.896469910653588e-10,,,,,
