,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PARKINSONS,control_v_parkinsons,24794.125057167654,23492.953126646058,0.20665185521017962,,,1.461249281638986,0.14554175456685495,,,5596.0,0.14565871896767005,0.5596
Noise Ratio,PARKINSONS,control_v_parkinsons,0.013648648648648651,0.014256756756756759,-0.09896564289329104,,,-0.6997927719433236,0.4848901160076291,,,4776.5,0.5631695303599126,0.47765
Shifted Noise Ratio,PARKINSONS,control_v_parkinsons,0.02506756756756756,0.025202702702702702,-0.01413678179593273,,,-0.09996214272058575,0.9204756672352724,,,4978.0,0.9570596558750882,0.4978
β,PARKINSONS,control_v_parkinsons,0.9999899849128616,0.9999899849128616,0.0,,,0.0,1.0,,,,,
