,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PSYCH_VIGILANCE_SES-2,high_v_low,111639.28962627587,109579.31602853717,0.052359278780041915,,,0.24558678636289705,0.8065896131892691,,,886.0,0.4964136031672276,0.45764462809917356
Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.010717543326238978,0.010185466707205838,0.10060197512789198,,,0.4718650896092292,0.638220107995108,,,1037.0,0.5573977266687002,0.5356404958677686
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.024171480693219824,0.024247491638795984,-0.006366427166345874,,,-0.029861190314796702,0.976247024021432,,,943.5,0.8401053536841923,0.48734504132231404
β,PSYCH_VIGILANCE_SES-2,high_v_low,0.9999899849128614,0.9999899849128614,0.0,,,0.0,1.0,,,,,
