,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,LEARNING,rest_v_task,13422.878841593985,12896.760614098055,0.09797676908265124,,,0.5562251419118671,0.5802930394727495,,,9450.0,0.7746352408568998,0.5126953125
Noise Ratio,LEARNING,rest_v_task,0.035975085910652925,0.03884772336769759,-0.1973634276961699,,,-1.316772861913886,0.19291422130215075,,,8229.0,0.2228699210011983,0.4464518229166667
Shifted Noise Ratio,LEARNING,rest_v_task,0.0739905498281787,0.08325279209621993,-0.40025546517044297,,,-2.499603122922872,0.015286405280058122,,,7139.0,0.01068517470946657,0.3873155381944444
β,LEARNING,rest_v_task,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
