,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,OSTEO,allpain_v_pain,16523.597471417255,16145.216040363039,0.10539604261557123,,,0.5064371810802747,0.6139128161131504,,,1089.5,0.6773579161550873,0.5258204633204633
Noise Ratio,OSTEO,allpain_v_pain,0.012468575743639243,0.01229322968453403,0.0399272226498855,,,0.18540613708836806,0.8534255510713713,,,1064.0,0.8244559583750553,0.5135135135135135
Shifted Noise Ratio,OSTEO,allpain_v_pain,0.01811169547361589,0.018259061737322606,-0.02938247156036758,,,-0.14102071263153237,0.8882016763815856,,,1023.0,0.9200271390846472,0.4937258687258687
β,OSTEO,allpain_v_pain,0.9999899849128617,0.9999899849128613,1.5682663866382711,,,6.0,6.94952759711137e-07,,,,,
