,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,OSTEO,allpain_v_nopain,16523.597471417255,17350.597886260606,-0.22975848398490792,,,-0.9376645453064779,0.35436978280005904,,,475.0,0.31887839225673664,0.42410714285714285
Noise Ratio,OSTEO,allpain_v_nopain,0.012468575743639243,0.010869565217391302,0.37152385738536814,,,1.393907158488495,0.17290139850689756,,,678.5,0.1531926713496413,0.6058035714285714
Shifted Noise Ratio,OSTEO,allpain_v_nopain,0.01811169547361589,0.017725752508361205,0.07447649740300871,,,0.2847270733682384,0.7776183481770441,,,604.5,0.595594821272347,0.5397321428571429
β,OSTEO,allpain_v_nopain,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
