,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PARKINSONS,control_pre_v_park_pre,40186.27902413549,45994.02961406293,-0.5447227118775945,,,-4.324591934692987,2.429827840374992e-05,,,7004.0,0.000213539643757534,0.37058201058201057
Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.029639639639639642,0.029601029601029602,0.0038964900753757463,,,0.032139880346857636,0.9743849506185924,,,9584.0,0.8361436343772933,0.507089947089947
Shifted Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.03612612612612613,0.0345881595881596,0.12765212120303293,,,1.066779875265395,0.28701388246972714,,,10062.5,0.34533566021843654,0.5324074074074074
β,PARKINSONS,control_pre_v_park_pre,0.9999899849128616,0.9999899849128615,0.6472713840795977,,,5.082536525319484,9.435667042851565e-07,,,,,
