,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_VIGILANCE_SES-1,high_v_low,0.716,0.534,0.625,0.545,0.557,0.295,0.602,0.614,0.545
LDA,PSYCH_VIGILANCE_SES-1,high_v_low,0.5,0.511,0.67,0.545,0.489,0.648,0.602,0.466,0.545
SVM,PSYCH_VIGILANCE_SES-1,high_v_low,0.648,0.364,0.545,0.523,0.523,0.625,0.67,0.682,0.545
KNN-1,PSYCH_VIGILANCE_SES-1,high_v_low,0.739,0.455,0.602,0.477,0.534,0.67,0.614,0.636,0.545
KNN-2,PSYCH_VIGILANCE_SES-1,high_v_low,0.716,0.58,0.591,0.614,0.534,0.523,0.591,0.67,0.545
KNN-3,PSYCH_VIGILANCE_SES-1,high_v_low,0.659,0.58,0.602,0.602,0.534,0.682,0.659,0.727,0.545
KNN-4,PSYCH_VIGILANCE_SES-1,high_v_low,0.693,0.591,0.568,0.534,0.557,0.523,0.682,0.67,0.545
KNN-5,PSYCH_VIGILANCE_SES-1,high_v_low,0.693,0.614,0.557,0.409,0.5,0.489,0.636,0.659,0.545
KNN-6,PSYCH_VIGILANCE_SES-1,high_v_low,0.705,0.636,0.591,0.5,0.489,0.523,0.648,0.648,0.545
KNN-7,PSYCH_VIGILANCE_SES-1,high_v_low,0.682,0.614,0.58,0.443,0.568,0.511,0.625,0.636,0.545
KNN-8,PSYCH_VIGILANCE_SES-1,high_v_low,0.648,0.636,0.614,0.534,0.545,0.523,0.682,0.648,0.545
KNN-9,PSYCH_VIGILANCE_SES-1,high_v_low,0.693,0.534,0.58,0.477,0.523,0.5,0.648,0.716,0.545
KNN-10,PSYCH_VIGILANCE_SES-1,high_v_low,0.659,0.568,0.568,0.545,0.466,0.5,0.602,0.682,0.545
KNN-20,PSYCH_VIGILANCE_SES-1,high_v_low,0.659,0.591,0.625,0.545,0.5,0.466,0.602,0.648,0.545
