,Dataset,Comparison,Raw Eigs,Largest,Largest20,Noise Ratio,Shifted Noise Ratio,Brody,Rigidity,Levelvar,Guess
Logistic Regression,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.795,0.682,0.773,0.682,0.682,0.682,0.67,0.682,0.682
LDA,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.705,0.682,0.727,0.682,0.682,0.682,0.625,0.58,0.682
SVM,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.727,0.682,0.784,0.648,0.67,0.648,0.67,0.67,0.682
KNN-1,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.614,0.614,0.648,0.636,0.58,0.466,0.568,0.511,0.682
KNN-2,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.727,0.67,0.761,0.648,0.602,0.648,0.591,0.625,0.682
KNN-3,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.739,0.648,0.739,0.67,0.636,0.443,0.58,0.534,0.682
KNN-4,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.727,0.693,0.784,0.659,0.705,0.682,0.693,0.58,0.682
KNN-5,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.727,0.67,0.761,0.625,0.693,0.602,0.648,0.455,0.682
KNN-6,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.716,0.693,0.795,0.659,0.648,0.682,0.67,0.614,0.682
KNN-7,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.716,0.648,0.807,0.67,0.625,0.659,0.636,0.625,0.682
KNN-8,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.716,0.614,0.784,0.659,0.659,0.659,0.659,0.636,0.682
KNN-9,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.705,0.602,0.807,0.659,0.636,0.648,0.625,0.614,0.682
KNN-10,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.727,0.602,0.784,0.682,0.682,0.648,0.693,0.659,0.682
KNN-20,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.682,0.648,0.705,0.682,0.682,0.625,0.636,0.682,0.682
