,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,111459.20463647154,109589.42065652851,0.047522095062505036,,,0.21764709349695985,0.8282994917975786,,,962.0,0.9899708323953129,0.5010416666666667
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.010381828316610926,0.010535117056856187,-0.028948580620458183,,,-0.13647685590342135,0.8917655182626876,,,935.0,0.8331072251502742,0.4869791666666667
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.024108138238573024,0.024331103678929766,-0.018675582404225732,,,-0.08634633140835096,0.9314091870776977,,,968.5,0.9461577531273221,0.5044270833333333
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.9999899849128617,0.9999899849128617,0.0,,,,,,,,,
