,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,OSTEO,nopain_v_pain,17350.597886260606,16145.216040363039,0.3593984750986119,,,1.3113639559079031,0.1971212216758961,,,455.0,0.15767934087994107,0.6148648648648649
Noise Ratio,OSTEO,nopain_v_pain,0.010869565217391302,0.01229322968453403,-0.3127968537605016,,,-1.1378774257984385,0.26191633859810226,,,308.5,0.29511769808541277,0.4168918918918919
Shifted Noise Ratio,OSTEO,nopain_v_pain,0.017725752508361205,0.018259061737322606,-0.10823036695781295,,,-0.3795300874268807,0.7065143127326085,,,332.0,0.5194700609407747,0.4486486486486487
β,OSTEO,nopain_v_pain,0.9999899849128617,0.9999899849128613,1.2192155209340498,,,6.0,6.94952759711137e-07,,,,,
