,DATASET,comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,LEARNING,rest_v_task,13826.128300315502,13757.186634836236,0.013481546338965332,0.05115859489344804,0.9596408577322011,,,145.0,0.8864030063670636,283.0,0.9260716380147049,0.4913194444444444
Largest Eigenvalue,OSTEO,allpain_v_duloxetine,16523.59747141726,17260.445521364938,-0.19148787902981984,,,-0.6742491332561805,0.5056988136861691,,,478.5,0.5184574883092592,0.44971804511278196
Largest Eigenvalue,PSYCH_VIGILANCE,high_v_low,128739.1717884257,103218.44548278415,0.6528953038957483,,,1.5399369002429568,0.13936882327933,,,78.0,0.24853467917305805,0.65
Largest Eigenvalue,PSYCH_TASK_ATTENTION,high_v_low,115324.34419918533,119759.78241105999,-0.10756529936437101,,,-0.22021175606195242,0.8298722522578192,,,48.0,0.5042736753035878,0.41025641025641024
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION,high_v_low,114880.11892799998,119849.30891529494,-0.12056279595167836,,,-0.2700060996105167,0.7909475966929455,,,53.0,0.668216305163999,0.44166666666666665
Largest Eigenvalue,SINGLE_SUBJECT,rest_v_task,16607.224779625067,6865.156151402109,,,,,,,,3.0,0.37109336952269756,1.0
Largest Eigenvalue,PARKINSONS,control_v_control_pre,24794.12505716765,40186.27902413547,-2.1339726606224394,,,-17.417401185718305,1.1808448805284928e-44,,,739.0,1.531818881992205e-33,0.04926666666666667
