,Logistic Regression,LDA,SVM,KNN-1,KNN-2,KNN-3,KNN-4,KNN-5,KNN-6,KNN-7,KNN-8,KNN-9,KNN-10,KNN-20
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.010256410256410331,-0.01538461538461533,0.07435897435897443,0.07179487179487176,0.033333333333333326,0.0410256410256411,0.05897435897435899,0.025641025641025772,0.0410256410256411,0.07435897435897443,0.03846153846153855,0.0410256410256411,0.033333333333333326,0.06923076923076932
std,0.212200036016174,0.06858941076150044,0.1276054350424692,0.0723220369275425,0.08720462181664758,0.11669092762992142,0.10259970891912906,0.11403131678740455,0.1191687183448436,0.09552022954494707,0.12806259883565552,0.14209642694441305,0.13298771774246093,0.14756899727278808
min,-0.5128205128205128,-0.12820512820512814,-0.23076923076923073,-0.07692307692307687,-0.10256410256410253,-0.15384615384615374,-0.10256410256410253,-0.20512820512820507,-0.12820512820512814,-0.07692307692307687,-0.15384615384615374,-0.12820512820512814,-0.20512820512820507,-0.23076923076923073
25%,-0.06410256410256404,-0.051282051282051155,0.03846153846153855,0.05769230769230771,0.0064102564102563875,-0.03205128205128194,-0.02564102564102555,-0.051282051282051155,-0.04487179487179477,0.02564102564102566,-0.02564102564102555,-0.10256410256410253,-0.057692307692307654,1.1102230246251565e-16
50%,0.0641025641025641,-0.02564102564102555,0.11538461538461542,0.07692307692307698,0.02564102564102566,0.0641025641025641,0.07692307692307698,0.0641025641025641,0.012820512820512775,0.08974358974358987,0.025641025641025772,0.08974358974358987,0.02564102564102566,0.11538461538461542
75%,0.15384615384615385,0.03846153846153855,0.14743589743589747,0.09615384615384626,0.05128205128205132,0.14743589743589747,0.11538461538461553,0.09615384615384626,0.1282051282051282,0.14102564102564108,0.14743589743589747,0.14743589743589747,0.1346153846153847,0.16666666666666663
max,0.2051282051282053,0.10256410256410264,0.2051282051282053,0.17948717948717952,0.23076923076923084,0.15384615384615385,0.23076923076923084,0.17948717948717952,0.23076923076923084,0.23076923076923084,0.2051282051282053,0.23076923076923084,0.23076923076923084,0.2564102564102565
