Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,OSTEO,allpain_v_nopain,0.7368421052631579,,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
LDA,OSTEO,allpain_v_nopain,0.5,,0.75,0.7105263157894737,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.4868421052631579,0.6052631578947368,0.7368421052631579,-0.07894736842105254,-0.07631578947368423,-0.1271929824561403,0.013157894736842146,0.0,0.0
SVM,OSTEO,allpain_v_nopain,0.7368421052631579,,0.75,0.7368421052631579,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.0,-0.0026315789473684292,0.0,0.013157894736842146,0.0,0.0
KNN-1,OSTEO,allpain_v_nopain,0.6052631578947368,,0.6973684210526315,0.631578947368421,0.6447368421052632,0.6052631578947368,0.2631578947368421,0.6842105263157895,0.631578947368421,0.7368421052631579,-0.14144736842105254,-0.17105263157894746,-0.21052631578947367,-0.03947368421052633,-0.05263157894736836,-0.05263157894736836
KNN-2,OSTEO,allpain_v_nopain,0.6447368421052632,,0.7368421052631579,0.6710526315789473,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.6842105263157895,0.7105263157894737,0.7368421052631579,-0.03125,-0.018421052631578894,-0.02631578947368407,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_nopain,0.5921052631578947,,0.7368421052631579,0.6578947368421053,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.6447368421052632,0.6447368421052632,0.7368421052631579,-0.05263157894736836,-0.039473684210526216,-0.06140350877192979,0.0,0.0,0.0
KNN-4,OSTEO,allpain_v_nopain,0.6710526315789473,,0.7236842105263158,0.6710526315789473,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6973684210526315,0.7368421052631579,0.7368421052631579,-0.023026315789473673,-0.007894736842105288,-0.013157894736842035,0.0,0.0,0.0
KNN-5,OSTEO,allpain_v_nopain,0.5921052631578947,,0.6842105263157895,0.6447368421052632,0.7368421052631579,0.7236842105263158,0.7368421052631579,0.6973684210526315,0.7236842105263158,0.7368421052631579,-0.044407894736842035,-0.013157894736842146,-0.01754385964912275,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_nopain,0.6973684210526315,,0.7236842105263158,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.6973684210526315,0.7368421052631579,-0.023026315789473673,-0.018421052631579005,-0.030701754385964897,0.0,0.0,0.0
KNN-7,OSTEO,allpain_v_nopain,0.631578947368421,,0.7763157894736842,0.6973684210526315,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.7105263157894737,0.7368421052631579,-0.023026315789473673,-0.015789473684210575,-0.02631578947368407,0.03947368421052633,0.0,0.0
KNN-8,OSTEO,allpain_v_nopain,0.6973684210526315,,0.75,0.7236842105263158,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6973684210526315,0.6842105263157895,0.7368421052631579,-0.016447368421052544,-0.018421052631579005,-0.030701754385964897,0.013157894736842146,0.0,0.0
