,Logistic Regression,LDA,SVM,KNN-1,KNN-2,KNN-3,KNN-4,KNN-5,KNN-6,KNN-7,KNN-8,KNN-9,KNN-10,KNN-20
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.5230769230769231,0.49743589743589745,0.5871794871794872,0.5846153846153845,0.5461538461538461,0.5538461538461539,0.5717948717948718,0.5384615384615385,0.5538461538461539,0.5871794871794872,0.5512820512820513,0.5538461538461539,0.5461538461538461,0.5820512820512821
std,0.212200036016174,0.06858941076150044,0.1276054350424692,0.0723220369275425,0.08720462181664758,0.11669092762992142,0.10259970891912906,0.11403131678740455,0.1191687183448436,0.09552022954494707,0.12806259883565552,0.14209642694441305,0.13298771774246093,0.14756899727278808
min,0.0,0.38461538461538464,0.28205128205128205,0.4358974358974359,0.41025641025641024,0.35897435897435903,0.41025641025641024,0.3076923076923077,0.38461538461538464,0.4358974358974359,0.35897435897435903,0.38461538461538464,0.3076923076923077,0.28205128205128205
25%,0.44871794871794873,0.4615384615384616,0.5512820512820513,0.5705128205128205,0.5192307692307692,0.48076923076923084,0.4871794871794872,0.4615384615384616,0.467948717948718,0.5384615384615384,0.4871794871794872,0.41025641025641024,0.4551282051282051,0.5128205128205129
50%,0.5769230769230769,0.4871794871794872,0.6282051282051282,0.5897435897435898,0.5384615384615384,0.5769230769230769,0.5897435897435898,0.5769230769230769,0.5256410256410255,0.6025641025641026,0.5384615384615385,0.6025641025641026,0.5384615384615384,0.6282051282051282
75%,0.6666666666666666,0.5512820512820513,0.6602564102564102,0.608974358974359,0.5641025641025641,0.6602564102564102,0.6282051282051283,0.608974358974359,0.641025641025641,0.6538461538461539,0.6602564102564102,0.6602564102564102,0.6474358974358975,0.6794871794871794
max,0.7179487179487181,0.6153846153846154,0.7179487179487181,0.6923076923076923,0.7435897435897436,0.6666666666666666,0.7435897435897436,0.6923076923076923,0.7435897435897436,0.7435897435897436,0.7179487179487181,0.7435897435897436,0.7435897435897436,0.7692307692307693
