,Logistic Regression,LDA,SVM,KNN-1,KNN-2,KNN-3,KNN-4,KNN-5,KNN-6,KNN-7,KNN-8,KNN-9,KNN-10,KNN-20
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.5743589743589744,0.5230769230769231,0.576923076923077,0.5846153846153846,0.5974358974358974,0.5974358974358974,0.5948717948717949,0.5692307692307692,0.5974358974358974,0.5692307692307692,0.6,0.6051282051282052,0.6025641025641025,0.6076923076923076
std,0.08816271424429147,0.16270774747748093,0.13088369941122693,0.11261312199658531,0.07257411868497021,0.11846166179493094,0.08615113277507114,0.14033761197794048,0.07553350801807074,0.1119625497012842,0.09982086373098416,0.11025309741262974,0.11290465652669153,0.14657558983570762
min,0.35897435897435903,0.2564102564102564,0.2307692307692308,0.4615384615384616,0.5128205128205128,0.3333333333333333,0.41025641025641024,0.28205128205128205,0.4615384615384616,0.28205128205128205,0.35897435897435903,0.38461538461538464,0.3333333333333333,0.20512820512820512
25%,0.5641025641025641,0.39743589743589747,0.5705128205128205,0.5128205128205128,0.5641025641025641,0.5384615384615384,0.5641025641025641,0.4935897435897436,0.5897435897435898,0.5641025641025641,0.5897435897435898,0.5384615384615384,0.5705128205128205,0.6153846153846154
50%,0.5897435897435898,0.5256410256410255,0.6025641025641026,0.5641025641025641,0.5769230769230769,0.6410256410256411,0.6153846153846154,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.6153846153846154,0.6282051282051282,0.6153846153846154,0.6538461538461539
75%,0.6346153846153847,0.6217948717948718,0.6538461538461539,0.6282051282051283,0.6282051282051283,0.6666666666666666,0.6602564102564102,0.6538461538461539,0.6602564102564102,0.6346153846153847,0.6538461538461539,0.6923076923076923,0.6794871794871794,0.6666666666666666
max,0.6666666666666666,0.7435897435897436,0.6923076923076923,0.7948717948717948,0.7692307692307693,0.7179487179487181,0.6923076923076923,0.7435897435897436,0.6923076923076923,0.6666666666666666,0.7179487179487181,0.7435897435897436,0.7179487179487181,0.7179487179487181
