,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,REFLECT_SUMMED,rest_v_task,24152.64838031709,19655.040276660442,1.4005338284519904,,,6.057626514996841,3.9764232311665657e-07,,,3164.0,2.7966604294020367e-08,0.8231009365244537
Noise Ratio,REFLECT_SUMMED,rest_v_task,0.010011123470522802,0.010929131896873834,-0.20349216596604397,,,-0.8527374714946632,0.39903969536485406,,,1661.0,0.23327877307387013,0.43210197710718
Shifted Noise Ratio,REFLECT_SUMMED,rest_v_task,0.014619418401398375,0.01936729356084195,-0.8333799150654166,,,-4.666089171867414,2.037428271575093e-05,,,1025.0,4.8894304071075735e-05,0.2666493236212279
β,REFLECT_SUMMED,rest_v_task,0.9999899849128617,0.9999899849128616,1.110797446766032,,,11.090536506409418,3.089345065137686e-20,,,,,
