,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-1,high_v_low,113943.04018851713,105793.90441691341,0.20816439428073663,,,0.9043299177651883,0.36949737907340596,,,1018.0,0.4891432234760249,0.5438034188034188
Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.009711860046308207,0.011519881085098476,-0.34643928623047704,,,-1.5383641925345644,0.12882007771020193,,,787.0,0.19584483886258552,0.4204059829059829
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.02302546951376383,0.025919732441471572,-0.24419396048944356,,,-1.1589654740453672,0.24982863316588755,,,747.0,0.10706927324562461,0.39903846153846156
β,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.9999899849128615,0.9999899849128613,0.662401321106836,,,2.7328774664924014,0.00881449572440829,,,,,
